metric,,,curvature,curvature,curvature,second_order_coeff_x,second_order_coeff_x,second_order_coeff_x,second_order_coeff_y,second_order_coeff_y,second_order_coeff_y,second_order_coeff_z,second_order_coeff_z,second_order_coeff_z
summary,,,median,low,high,median,low,high,median,low,high,median,low,high
fish,date,condition,,,,,,,,,,,,
Mark,2020-12-16,well,8.09671827872149,4.402921105158439,14.895365360539264,-5.428510254330519e-05,-0.00021199988962484687,8.805194708497587e-05,-0.00013137970582070564,-0.0002896500208621952,2.4754269697077503e-05,-6.134011025604331e-05,-0.00029033121222912003,0.0001242751071063342
Mark,2020-12-18,floor,5.3979727161207,2.882166432527101,12.048172678718114,-4.690633398991428e-05,-0.00013878500309735453,3.5760359828040854e-05,-6.121005311908086e-05,-0.00018032841025260971,3.7019841583388636e-05,4.41456391826605e-05,-8.020733081625315e-05,0.00015348610947129866
Mark,2020-12-18,well,6.184292411134411,3.4217518361923953,12.259929574085517,-9.964742924930177e-05,-0.0002461145895146301,2.178781221470209e-06,-9.980912913773874e-05,-0.0002522242701989696,2.6958522294096303e-05,7.285851075323133e-06,-0.0001705782247923035,0.00015155654656705684
Neil,2020-12-12,floor,14.373669369479499,8.766734738160295,25.67659826938779,-0.0002855945559174234,-0.0005162832220363431,5.372659794959981e-05,-2.20368731419644e-05,-0.00020922727606720063,0.0002426436341357962,3.6527187231100046e-06,-0.0002419325325286587,0.00022063498407066007
Neil,2020-12-12,well,16.779501839294383,9.944164846648356,27.19327413499751,-0.00016933919238199275,-0.0004482359530657212,0.0003179823442001229,-0.00021415919820488605,-0.0003989675644766425,7.477448585505862e-06,-5.503847140820165e-05,-0.0004364105498052429,0.00028666914894907386
Neil,2020-12-14,floor,13.014250161387857,7.006568278004953,22.20004142312804,-0.0002183905227940827,-0.00044764597311863747,0.0001136338243990945,-4.520050529127825e-06,-0.0001446431640978444,0.0002641078154940759,6.519853302949697e-05,-0.00013917709474143048,0.00024032692754182431
Neil,2020-12-14,well,15.707063533319273,9.265896634789476,26.94089548347562,-0.0001525639797084608,-0.0004976880642788224,0.00027524163408602,-0.00017756235676772423,-0.0004072325673816883,3.477569703564414e-05,-0.00016245887651820116,-0.0006152621386744724,0.00010178294450596555
Neil,2020-12-16,floor,14.639205147366566,7.770830036058333,27.1091228441229,-0.000299529504373956,-0.0006556280983359586,-1.2524530995225895e-05,-9.245387888986753e-05,-0.0003000333466777206,0.00016387566363852048,-9.826483269704938e-06,-0.0002051186192563864,0.0001950507899074433
Neil,2020-12-16,well,13.408102996346281,8.084861441860603,22.507643316435264,-0.00027888991577154794,-0.0005618654624861205,-4.642930433465484e-05,-0.00012915865695499852,-0.00037020136067217617,0.00010726468291648682,-1.8379910540990413e-05,-0.00038307037675816547,0.00021094055010187267
Neil,2020-12-18,floor,11.979060958386864,6.5360779647328275,22.277505174191013,-0.0002853746093055793,-0.0005860212051099075,9.822227608758832e-05,-6.563523797794706e-05,-0.0002119699074364367,0.00010543149467685746,-4.106840800956508e-05,-0.00024830479836613197,0.0001774042236540842
Neil,2020-12-18,well,14.156803725181987,8.52486693690119,22.87482971638168,-0.0002711847626253663,-0.0005650217248084933,0.00019375638186163227,-0.00018264777731808723,-0.0003180638703503734,1.4608575332009437e-05,-4.262417686814066e-05,-0.00036757774688023074,0.00026168455310051795
Neil,2020-12-19,floor,14.616478602605905,7.871040829542253,25.384137891022874,-0.0002671697700318603,-0.0006125557602209952,0.00017390378977984625,-0.00010510964086668577,-0.00032030198203703486,0.00012715043784122554,-5.337706422967879e-06,-0.00021708961781718585,0.00022838759449304977
